ID,PID,Hours,Amount,Phase Bill Count,DeliveryMethod,Status,Division,Unit,Sponsor,Phase,ActualDuration,ProjectDuration,PlanningDuration,DesignDuration,ProcurementDuration,ConstructionDuration,CloseOutDuration,Monthly FTE
LNEA14VNT-Initiation,LNEA14VNT,209.5,30300.469999999998,26,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,10.97,3570.0,419.0,1523.0,243.0,365.0,1020.0,0.14
LNEA14VNT-Design,LNEA14VNT,1321.9166666666667,203179.3000000001,163,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Design,37.26,3570.0,419.0,1523.0,243.0,365.0,1020.0,0.25
LNEM14JPK-Initiation,LNEM14JPK,62.0,8966.47,7,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,1.45,970.0,45.0,96.0,638.0,9.0,182.0,0.31
LNEM14JPK-Design,LNEM14JPK,270.75,39155.88,29,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Design,3.1,970.0,45.0,96.0,638.0,9.0,182.0,0.62
LNEM14JPK-Procurement,LNEM14JPK,466.0,68797.49000000003,91,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Procurement,20.58,970.0,45.0,96.0,638.0,9.0,182.0,0.16
LNEM14JPK-Construction,LNEM14JPK,128.0,20544.02,15,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Construction,0.9,970.0,45.0,96.0,638.0,9.0,182.0,1.02
LNEM14JPK-Closeout,LNEM14JPK,225.0,38158.97,46,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Closeout,5.9,970.0,45.0,96.0,638.0,9.0,182.0,0.27
LNCA14MBG-Initiation,LNCA14MBG,237.5,34347.689999999995,31,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,11.29,3182.0,517.0,1213.0,242.0,480.0,730.0,0.15
LNCA14MBG-Design,LNCA14MBG,1567.6666666666667,237750.66000000035,316,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Design,37.26,3182.0,517.0,1213.0,242.0,480.0,730.0,0.3
CO284EXT2-Design,CO284EXT2,1020.25,149082.38999999998,111,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,COURTS,DCAS,Design,21.84,2037.0,0.0,677.0,356.0,730.0,274.0,0.33
CO284EXT2-Procurement,CO284EXT2,826.6666666666667,117757.05000000003,104,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,COURTS,DCAS,Procurement,11.48,2037.0,0.0,677.0,356.0,730.0,274.0,0.51
CO284EXT2-Construction,CO284EXT2,1281.25,214721.9600000002,183,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,COURTS,DCAS,Construction,12.88,2037.0,0.0,677.0,356.0,730.0,274.0,0.71
LNCM12CAS-Initiation,LNCM12CAS,52.25,7556.400000000001,4,1.AllInHouse,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,13.9,1747.0,431.0,648.0,443.0,225.0,180.0,0.03
LNEA14ECH-Design,LNEA14ECH,42.5,6146.35,4,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Design,2.97,1623.0,36.0,92.0,440.0,261.0,794.0,0.1
LNEA14ECH-Procurement,LNEA14ECH,92.0,13320.539999999997,11,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Procurement,14.19,1623.0,36.0,92.0,440.0,261.0,794.0,0.05
LNEA14ECH-Construction,LNEA14ECH,359.0,57093.86,42,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Construction,8.61,1623.0,36.0,92.0,440.0,261.0,794.0,0.3
LNEA14ECH-Closeout,LNEA14ECH,200.08333333333331,29224.430000000004,38,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Closeout,9.52,1623.0,36.0,92.0,440.0,261.0,794.0,0.15
CO301PD-Initiation,CO301PD,1292.0,210330.45,91,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,COURTS,DCAS,Initiation,34.84,3181.0,1080.0,729.0,277.0,730.0,365.0,0.26
CO301PD-Design,CO301PD,1420.0,224599.40000000058,167,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,COURTS,DCAS,Design,15.18,3181.0,1080.0,729.0,277.0,730.0,365.0,0.67
LNEM14HUG-Initiation,LNEM14HUG,0.5,72.31,1,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,1.68,1521.0,52.0,49.0,392.0,396.0,632.0,0.0
LNEM14HUG-Design,LNEM14HUG,263.8833333333333,38162.829999999994,15,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Design,1.58,1521.0,52.0,49.0,392.0,396.0,632.0,1.19
LNEM14HUG-Procurement,LNEM14HUG,202.0,29262.27999999999,41,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Procurement,12.65,1521.0,52.0,49.0,392.0,396.0,632.0,0.11
LNEM14HUG-Construction,LNEM14HUG,437.75,64960.59000000002,66,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Construction,9.48,1521.0,52.0,49.0,392.0,396.0,632.0,0.33
LNEM14HUG-Closeout,LNEM14HUG,503.25,80331.61999999998,114,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Closeout,23.61,1521.0,52.0,49.0,392.0,396.0,632.0,0.15
LNEA14RTW-Initiation,LNEA14RTW,238.75,34528.03999999999,29,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,3.74,1531.0,116.0,59.0,350.0,276.0,730.0,0.46
LNEA14RTW-Design,LNEA14RTW,114.5,16558.99,16,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Design,1.9,1531.0,116.0,59.0,350.0,276.0,730.0,0.43
LNEA14RTW-Procurement,LNEA14RTW,203.7,29535.659999999993,58,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Procurement,11.29,1531.0,116.0,59.0,350.0,276.0,730.0,0.13
LNEA14RTW-Construction,LNEA14RTW,405.25,61411.54999999998,81,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Construction,8.45,1531.0,116.0,59.0,350.0,276.0,730.0,0.34
LNEA14RTW-Closeout,LNEA14RTW,215.5,33716.72999999998,57,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Closeout,22.94,1531.0,116.0,59.0,350.0,276.0,730.0,0.07
PV144-EXT-Initiation,PV144-EXT,9.0,1301.58,3,1.AllInHouse,Active,PUBLIC BUILDINGS,CULTURALS,Cultural Affairs,Initiation,0.0,632.0,,,,391.0,180.0,inf
PW77207C6-Construction,PW77207C6,814.0,117720.76000000002,53,1.AllInHouse,Completed,PUBLIC BUILDINGS,HUMAN SERVICES,DCAS,Construction,6.45,1285.0,366.0,90.0,294.0,67.0,468.0,0.9
PW77207C6-Closeout,PW77207C6,616.0,89589.29000000004,90,1.AllInHouse,Completed,PUBLIC BUILDINGS,HUMAN SERVICES,DCAS,Closeout,15.17,1285.0,366.0,90.0,294.0,67.0,468.0,0.29
LNCM12NDP-Initiation,LNCM12NDP,55.0,7954.109999999999,16,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,14.84,1980.0,460.0,386.0,236.0,168.0,730.0,0.03
LNCM12NDP-Design,LNCM12NDP,154.75,22670.75,33,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Design,12.45,1980.0,460.0,386.0,236.0,168.0,730.0,0.09
LNCM12NDP-Procurement,LNCM12NDP,158.0,26602.93,36,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Procurement,7.64,1980.0,460.0,386.0,236.0,168.0,730.0,0.15
LNCM12NDP-Construction,LNCM12NDP,388.5,53669.09999999999,33,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Construction,5.3,1980.0,460.0,386.0,236.0,168.0,730.0,0.52
LNCM12NDP-Closeout,LNCM12NDP,458.5,77709.37000000002,44,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Closeout,11.16,1980.0,460.0,386.0,236.0,168.0,730.0,0.29
LNEM14NDP-Initiation,LNEM14NDP,43.5,6290.97,7,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,9.13,2128.0,283.0,718.0,190.0,206.0,731.0,0.03
LNEM14NDP-Design,LNEM14NDP,292.75,56055.59,60,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Design,23.15,2128.0,283.0,718.0,190.0,206.0,731.0,0.09
LNEM14NDP-Procurement,LNEM14NDP,90.0,14204.02,19,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Procurement,6.13,2128.0,283.0,718.0,190.0,206.0,731.0,0.1
LNEM14NDP-Construction,LNEM14NDP,868.25,147958.79,54,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Construction,6.19,2128.0,283.0,718.0,190.0,206.0,731.0,1.0
LNEM14NDP-Closeout,LNEM14NDP,294.0,48155.58999999998,33,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Closeout,3.22,2128.0,283.0,718.0,190.0,206.0,731.0,0.65
PW195SW2-Initiation,PW195SW2,58.5,8460.29,8,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,PARKS/DCAS,DCAS,Initiation,9.9,3017.0,461.0,1552.0,274.0,365.0,365.0,0.04
PW195SW2-Design,PW195SW2,1933.0,288136.7300000001,282,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,PARKS/DCAS,DCAS,Design,44.16,3017.0,461.0,1552.0,274.0,365.0,365.0,0.31
PV205GREN-Design,PV205GREN,46.5,6724.83,10,1.AllInHouse,Completed,PUBLIC BUILDINGS,PASS THROUGH,Cultural Affairs,Design,7.71,1597.0,13.0,239.0,27.0,1137.0,181.0,0.04
PV205GREN-Procurement,PV205GREN,3.5,506.17,1,1.AllInHouse,Completed,PUBLIC BUILDINGS,PASS THROUGH,Cultural Affairs,Procurement,0.87,1597.0,13.0,239.0,27.0,1137.0,181.0,0.03
PV205GREN-Construction,PV205GREN,256.25,38771.15999999999,59,1.AllInHouse,Completed,PUBLIC BUILDINGS,PASS THROUGH,Cultural Affairs,Construction,36.16,1597.0,13.0,239.0,27.0,1137.0,181.0,0.05
PV205GREN-Closeout,PV205GREN,31.5,5032.469999999999,9,1.AllInHouse,Completed,PUBLIC BUILDINGS,PASS THROUGH,Cultural Affairs,Closeout,6.35,1597.0,13.0,239.0,27.0,1137.0,181.0,0.04
S136-419L-Initiation,S136-419L,228.25,34407.42,38,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,SANITATION,Sanitation,Initiation,9.41,2081.0,293.0,763.0,182.0,478.0,365.0,0.17
S136-419L-Design,S136-419L,2242.5,326592.1700000001,271,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,SANITATION,Sanitation,Design,24.43,2081.0,293.0,763.0,182.0,478.0,365.0,0.66
PW293137B-Design,PW293137B,14.0,2024.6799999999998,3,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,HUMAN SERVICES,DCAS,Design,0.0,2026.0,-868.0,1137.0,148.0,737.0,872.0,inf
LNEA14HGR-Initiation,LNEA14HGR,193.25,28051.17,45,1.AllInHouse,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,30.36,2089.0,1354.0,343.0,180.0,212.0,180.0,0.05
LNCL15CAS-Initiation,LNCL15CAS,79.25,11461.15,20,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,4.87,3207.0,505.0,1454.0,244.0,547.0,457.0,0.12
LNCL15CAS-Design,LNCL15CAS,1658.0,250606.73000000045,337,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Design,40.94,3207.0,505.0,1454.0,244.0,547.0,457.0,0.29
LNCA15EDW-Initiation,LNCA15EDW,202.5,29313.929999999997,38,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,13.19,2990.0,590.0,1241.0,266.0,280.0,613.0,0.11
LNCA15EDW-Design,LNCA15EDW,1436.5,229170.13000000012,148,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Design,32.66,2990.0,590.0,1241.0,266.0,280.0,613.0,0.31
LBC15BWHC-Initiation,LBC15BWHC,269.5,39047.12999999999,58,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-BPL,Initiation,15.68,3372.0,486.0,1724.0,252.0,545.0,365.0,0.12
LBC15BWHC-Design,LBC15BWHC,482.8333333333333,76280.72000000002,169,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-BPL,Design,31.74,3372.0,486.0,1724.0,252.0,545.0,365.0,0.11
LNCA15SPK-Initiation,LNCA15SPK,45.75,6616.370000000001,6,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,2.81,1677.0,285.0,245.0,30.0,578.0,539.0,0.12
LNCA15SPK-Design,LNCA15SPK,447.5,64717.48999999999,33,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Design,3.97,1677.0,285.0,245.0,30.0,578.0,539.0,0.81
LNCA15SPK-Procurement,LNCA15SPK,336.55,48940.87000000001,48,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Procurement,11.13,1677.0,285.0,245.0,30.0,578.0,539.0,0.22
LNCA15SPK-Construction,LNCA15SPK,1584.35,242502.99000000008,203,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Construction,16.52,1677.0,285.0,245.0,30.0,578.0,539.0,0.69
LNCA15SPK-Closeout,LNCA15SPK,481.25,82009.87000000002,29,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Closeout,5.52,1677.0,285.0,245.0,30.0,578.0,539.0,0.62
PO79BMAHQ-Design,PO79BMAHQ,2043.0833333333328,312130.4900000003,265,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,POLICE,Police,Design,45.54,3110.0,267.0,1850.0,264.0,366.0,363.0,0.32
LBC15FLRF-Initiation,LBC15FLRF,127.33333333333333,18427.43,30,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-BPL,Initiation,10.35,2967.0,329.0,1497.0,217.0,560.0,364.0,0.09
LBC15FLRF-Design,LBC15FLRF,815.3666666666667,146688.31000000038,277,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-BPL,Design,35.42,2967.0,329.0,1497.0,217.0,560.0,364.0,0.16
LBC14CNHC-Initiation,LBC14CNHC,280.5,40581.640000000014,57,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-BPL,Initiation,11.81,2159.0,386.0,926.0,147.0,546.0,154.0,0.17
LBC14CNHC-Design,LBC14CNHC,1727.4833333333333,247382.94000000018,323,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-BPL,Design,29.84,2159.0,386.0,926.0,147.0,546.0,154.0,0.41
LBC14CNHC-Procurement,LBC14CNHC,83.0,13788.03999999999,47,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-BPL,Procurement,5.98,2159.0,386.0,926.0,147.0,546.0,154.0,0.1
LBM15RDRF-Initiation,LBM15RDRF,219.25,31760.839999999997,49,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-BPL,Initiation,13.03,3193.0,404.0,1662.0,216.0,545.0,366.0,0.12
LBM15RDRF-Design,LBM15RDRF,505.58333333333337,74892.51000000007,144,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-BPL,Design,34.04,3193.0,404.0,1662.0,216.0,545.0,366.0,0.11
LNCA15STB-Initiation,LNCA15STB,27.5,3977.0499999999997,10,1.AllInHouse,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,3.68,852.0,247.0,127.0,196.0,282.0,180.0,0.05
LNEAL15RT-Initiation,LNEAL15RT,35.0,5061.7,7,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,6.35,2409.0,197.0,999.0,100.0,378.0,735.0,0.04
LNEAL15RT-Design,LNEAL15RT,997.25,156188.89000000004,163,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Design,31.81,2409.0,197.0,999.0,100.0,378.0,735.0,0.22
LNEAL15RT-Procurement,LNEAL15RT,118.5,20193.67,29,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Procurement,3.68,2409.0,197.0,999.0,100.0,378.0,735.0,0.23
LNEAL15RT-Construction,LNEAL15RT,709.9333333333334,112800.39000000001,62,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Construction,4.29,2409.0,197.0,999.0,100.0,378.0,735.0,1.18
LNCAL15TV-Initiation,LNCAL15TV,73.83333333333333,10677.78,10,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,6.52,2573.0,194.0,1041.0,339.0,270.0,729.0,0.08
LNCAL15TV-Design,LNCAL15TV,520.5,78732.48999999999,115,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Design,32.97,2573.0,194.0,1041.0,339.0,270.0,729.0,0.11
LNCAL15TV-Procurement,LNCAL15TV,66.25,10986.659999999994,34,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Procurement,5.52,2573.0,194.0,1041.0,339.0,270.0,729.0,0.09
LNEM14WKF-Initiation,LNEM14WKF,32.5,4700.15,9,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Initiation,10.81,1898.0,335.0,99.0,268.0,725.0,471.0,0.02
LNEM14WKF-Design,LNEM14WKF,329.25,47874.78,43,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Design,7.1,1898.0,335.0,99.0,268.0,725.0,471.0,0.33
LNEM14WKF-Procurement,LNEM14WKF,603.75,87833.55000000002,72,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Procurement,5.94,1898.0,335.0,99.0,268.0,725.0,471.0,0.73
LNEM14WKF-Construction,LNEM14WKF,1622.15,247721.06,201,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Construction,21.81,1898.0,335.0,99.0,268.0,725.0,471.0,0.53
LNEM14WKF-Closeout,LNEM14WKF,181.5,30446.87999999999,31,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-NYPL,Closeout,5.52,1898.0,335.0,99.0,268.0,725.0,471.0,0.23
LBC15GSRF-Initiation,LBC15GSRF,18.5,2675.47,8,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-BPL,Initiation,2.71,1607.0,84.0,272.0,422.0,365.0,464.0,0.05
LBC15GSRF-Design,LBC15GSRF,693.4833333333333,100675.36000000002,115,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-BPL,Design,8.77,1607.0,84.0,272.0,422.0,365.0,464.0,0.56
LBC15GSRF-Procurement,LBC15GSRF,190.0,27855.239999999998,46,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-BPL,Procurement,12.96,1607.0,84.0,272.0,422.0,365.0,464.0,0.1
LBC15GSRF-Construction,LBC15GSRF,594.0,89736.93000000004,115,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-BPL,Construction,8.78,1607.0,84.0,272.0,422.0,365.0,464.0,0.48
LBC15GSRF-Closeout,LBC15GSRF,458.0,78047.87000000002,59,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-BPL,Closeout,5.52,1607.0,84.0,272.0,422.0,365.0,464.0,0.59
LBK15BRRF-Initiation,LBK15BRRF,129.25,18692.149999999998,19,1.AllInHouse,Completed,PUBLIC BUILDINGS,LIBRARIES,Libraries-BPL,Initiation,3.9,1766.0,121.0,62.0,679.0,508.0,396.0,0.24
